Feature,Coefficient,Absolute_Coefficient
TestScore_Reading,0.13015403439367518,0.13015403439367518
TestScore_Science,0.1299418854727784,0.1299418854727784
TestScore_Math,0.12989232776099705,0.12989232776099705
AttendanceRate,0.0013158070729724157,0.0013158070729724157
FreeTime,0.0,0.0
Romantic,0.0,0.0
ParentSupport,-0.0,0.0
PartTimeJob,-0.0,0.0
Extracurricular,0.0,0.0
InternetAccess,0.0,0.0
StudyHours,0.0,0.0
Age,0.0,0.0
Grade,0.0,0.0
Locale,0.0,0.0
SchoolType,0.0,0.0
ParentalEducation,-0.0,0.0
SES_Quartile,0.0,0.0
Race,0.0,0.0
Gender,0.0,0.0
GoOut,-0.0,0.0
