,data_type,mean,variance,std,min,max,median,missing_values_num
Age,numeric,15.999590914579015,1.9991567891081805,1.4139154108744203,14.0,18.0,16.0,0
Grade,numeric,10.799738625288004,1.3594953904345501,1.1659740093306326,9.0,12.0,11.0,0
SES_Quartile,numeric,2.499802394118369,1.2502845896996588,1.1181612538894643,1.0,4.0,3.0,0
TestScore_Math,numeric,74.97554171546733,98.9019143718503,9.944944161323898,22.57681275053076,100.0,74.99531205697016,0
TestScore_Reading,numeric,74.97893690801082,98.86933627272239,9.943306103742477,21.18797246450817,100.0,75.00210689940617,0
TestScore_Science,numeric,74.9785134156355,98.97373401982934,9.948554368340625,19.18882880861113,100.0,75.00176450896029,0
GPA,numeric,2.9967429022722567,0.21115191290537827,0.4595126906902336,0.7131814488377701,4.0,2.9998244420007634,0
AttendanceRate,numeric,0.8995891365846038,0.0023099113451384642,0.04806153706591649,0.7,1.0,0.8999776215086233,0
StudyHours,numeric,0.9997262218419265,0.12117995528799781,0.34810911405477135,0.0,2.793828802808349,0.999894376609022,0
InternetAccess,numeric,0.8498266542711993,0.12762132791254155,0.3572412740887334,0.0,1.0,1.0,0
Extracurricular,numeric,0.5499690404953321,0.2475031259268739,0.4974968602181062,0.0,1.0,1.0,0
PartTimeJob,numeric,0.1798984698230446,0.147535028818466,0.3841028883235142,0.0,1.0,0.0,0
ParentSupport,numeric,0.4233362922137283,0.24412270642084763,0.49408775174137604,0.0,1.0,0.0,0
Romantic,numeric,0.19984503999238074,0.15990701996926826,0.39988375807135285,0.0,1.0,0.0,0
FreeTime,numeric,3.0003268433779033,1.017869666506544,1.0088952703360958,1.0,5.0,3.0,0
GoOut,numeric,2.07278633292229,0.8435242566414158,0.9184357662032854,1.0,5.0,2.0,0
